"SOCIALBRIDGE_ADMIN_SETTINGS_FACEBOOK_DESCRIPTION";"You can now integrate SocialEngine to Facebook. To do so, create an Application through the <a href=""%1$s"" target=""_blank"">Facebook Developers</a> page."
"SOCIALBRIDGE_ADMIN_SETTINGS_TWITTER_DESCRIPTION";"You can now integrate SocialEngine
to Twitter. To do so, create an Application through the
<a href=""%1$s"" target=""_blank"">Twitter Developers</a> page."
"SOCIALBRIDGE_ADMIN_SETTINGS_LINKEDIN_DESCRIPTION";"You can now integrate SocialEngine
to Linkedin. To do so, create an Application through the
<a href=""%1$s"" target=""_blank"">Linkedin Developers</a> page."
"Some invitations were added to queue!";"Some invitations were added to queue!"
"We'll import your address book to suggest connections and help you manage your contacts. And we won't store your password or email anyone without your permission.";"We'll import your address book to suggest connections and help you manage your contacts. And we won't store your password or email anyone without your permission."
"Your contacts are safe with us!";"Your contacts are safe with us!"
"Social Bridge";"Social Bridge"
"Connections";"Connections"
"Connect to %s";"Connect to %s"
"Connected as";"Connected as"
"Are you sure you want to disconnect this account?";"Are you sure you want to disconnect this account?"
"Click here";"Click here"
" to disconnect.";" to disconnect."